index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
133,Fort Saskatchewan Community Hospital,,Hospitals,Province of Alberta,,9401,86 avenue,T8L 0C6,fort saskatchewan,Alberta,"9401 – 86 avenue, fort saskatchewan, alberta, t8l 0c6",Fort Saskatchewan,4811056.0,48,53.693159000000000,-113.213229
134,Fort Saskatchewan Health Centre,general,Hospitals,Public Health Agency of Canada,,9430,95 st,T8L 1R8,fort saskatchewan,Alberta,9430 - 95th st. fort saskatchewan Alberta t8l 1r8,Fort Saskatchewan,4811056.0,48,53.7033208,-113.22252420000000
135,Foundation Oral Surgery,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2R 0H6,calgary,Alberta,,Calgary,,48,,
136,Fox Creek Health Care Centre,general,Hospitals,Public Health Agency of Canada,,600,third st,T0H 1P0,fox creek,Alberta,600 third st. fox creek Alberta t0h 1p0,Fox Creek,4818002.0,48,54.4046429,-116.80140300000000
137,Galahad Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0B 1R0,galahad,Alberta,,,,48,,
139,Gimbel Eye Centre - Calgary,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T3A 2N1,calgary,Alberta,,Calgary,,48,,
14,Allen Gray Continuing Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6L 7G1,edmonton,Alberta,,Edmonton,,48,,
140,Gimbel Eye Surgical Centre - Edmonton,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5G 0E5,edmonton,Alberta,,Edmonton,,48,,
141,Glenrose RehAlbertailitation Hospital,rehAlbertailitation,Hospitals,Public Health Agency of Canada,,10230,111 ave,T5G 0B7,edmonton,Alberta,10230 - 111th ave. edmonton Alberta t5g 0b7,Edmonton,4811061.0,48,53.56010130000000,-113.4976534
142,Grande Cache Community Health Complex,general,Hospitals,Public Health Agency of Canada,,10200,shand ave,T0E 0Y0,grande cache,Alberta,10200 shand ave. grande cache Alberta t0e 0y0,Grande Cache,4818005.0,48,53.8915173,-119.11921840000000
143,Grande Prairie Cancer Centre,,Hospitals,Province of Alberta,,10409,98 street,T8V 2E8,grande prairie,Alberta,"10409-98 street, grande prairie, alberta, t8v 2e8",Grande Prairie,4819012.0,48,55.175391000000000,-118.788449
144,Grey Nuns Community Hospital,general,Hospitals,Public Health Agency of Canada,,1100,youville dr w,T6L 5X8,edmonton,Alberta,1100 youville dr. w. edmonton Alberta t6l 5x8,Edmonton,4811061.0,48,53.4615831,-113.4297243
146,Grimshaw / Berwyn and District Community Health Centre,general,Hospitals,Public Health Agency of Canada,,5621,wilcox rd,T0H 1W0,grimshaw,Alberta,5621 wilcox rd. grimshaw Alberta t0h 1w0,Grimshaw,4819074.0,48,56.190388,-117.62725
147,Groat Oral and Maxillofacial Surgery,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5M 3J9,edmonton,Alberta,,Edmonton,,48,,
148,Groot Dermasurgery Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5N 4B2,edmonton,Alberta,,Edmonton,,48,,
149,Hall Dental Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T1H 0M4,lethbridge,Alberta,,Lethbridge,,48,,
15,AthAlbertaasca Healthcare Centre,general,Hospitals,Public Health Agency of Canada,,3100,48 ave,T9S 1M9,athAlbertaasca,Alberta,3100 - 48th ave. athAlbertaasca Alberta t9s 1m9,AthAlbertaasca,4813048.0,48,54.717240000000000,-113.254056
150,Hanna Health Centre,general,Hospitals,Public Health Agency of Canada,,904,centre st n,T0J 1P0,hanna,Alberta,904 centre st. n. hanna Alberta t0j 1p0,Hanna,4804011.0,48,51.6489192,-111.92820360000000
151,Hardisty Health Centre,general,Hospitals,Public Health Agency of Canada,,4531,47 st,T0B 1V0,hardisty,Alberta,4531 - 47 st. hardisty Alberta t0b 1v0,Hardisty,4807048.0,48,52.669316,-111.307616
152,Hbot Clinics,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2V 4R6,calgary,Alberta,,Calgary,,48,,
153,High Prairie Health Complex,general,Hospitals,Public Health Agency of Canada,,4620,53 ave,T0G 1E0,high prairie,Alberta,4620 - 53rd ave. high prairie Alberta t0g 1e0,High Prairie,4817021.0,48,55.431645000000000,-116.454926
155,High River General Hospital,general,Hospitals,Public Health Agency of Canada,,560,9 ave w,T1V 1B3,high river,Alberta,560 - 9th ave. w. high river Alberta t1v 1b3,High River,4806006.0,48,50.5751035,-113.87994780000000
157,Hinton Healthcare Centre,general,Hospitals,Public Health Agency of Canada,,1280,switzer dr,T7V 1V2,hinton,Alberta,1280 switzer dr. hinton Alberta t7v 1v2,Hinton,4814019.0,48,53.398281000000000,-117.58529000000000
158,Holy Cross Surgical Services,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2S 3C3,calgary,Alberta,,Calgary,,48,,
159,Hythe Continuing Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0H 2C0,hythe,Alberta,,Hythe,,48,,
16,Audrey Chan Professional Corporation,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5J 3S9,edmonton,Alberta,,Edmonton,,48,,
160,Innisfail Health Centre,general,Hospitals,Public Health Agency of Canada,,5023,42 st,T4G 1A9,innisfail,Alberta,5023 - 42nd st. innisfail Alberta t4g 1a9,Innisfail,4808008.0,48,52.019015,-113.9514399
161,Intercare Corporate Group Inc. — Brentwood Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N 3Y6,calgary,Alberta,,Calgary,,48,,
162,Intercare Corporate Group Inc. — Chinook Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V 4Y8,calgary,Alberta,,Calgary,,48,,
163,Intercare Corporate Group Inc. — Southwood Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2H 1M9,calgary,Alberta,,Calgary,,48,,
165,Jasper (Seton) Healthcare Centre,general,Hospitals,Public Health Agency of Canada,,518,robson st,T0E 1E0,jasper,Alberta,518 robson st. jasper Alberta t0e 1e0,Jasper,4815033.0,48,52.876107,-118.084299
166,Kensington Clinic,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2N 0T3,calgary,Alberta,,Calgary,,48,,
167,Killam General Hospital,general,Hospitals,Public Health Agency of Canada,,5203,49 ave,T0B 2L0,killam,Alberta,5203 - 49 ave. killam Alberta t0b 2l0,Killam,4807042.0,48,52.788934,-111.85954300000000
169,Kingsway Oral & Maxillofacial Surgery Edmonton Office,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5M 3Z7,edmonton,Alberta,,Edmonton,,48,,
170,Kingsway Oral & Maxillofacial Surgery Grande Prairie Office,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T8V 0Z8,grande prairie,Alberta,,Grande Prairie,,48,,
171,LA CRETE CONTINUING CARE CENTRE,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0H 2H0,la crete,Alberta,,,,48,,
172,LA CRETE HEALTH CENTRE,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0H 2H0,la crete,Alberta,,,,48,,
173,LAC LA BICHE HEALTHCARE CENTRE,general,Hospitals,Public Health Agency of Canada,,9110,93 st,T0A 2C0,lac la biche,Alberta,9110 - 93 st. lac la biche Alberta t0a 2c0,Lac la Biche County,4812037.0,48,54.764751000000000,-111.96449400000000
174,Lacombe Hospital & Care Centre,general,Hospitals,Public Health Agency of Canada,,5430,47 ave,T4L 1G8,lacombe,Alberta,5430 - 47th ave. lacombe Alberta t4l 1g8,Lacombe,4808031.0,48,52.460676600000000,-113.7411041
175,Lamont Health Care Centre,general,Hospitals,Public Health Agency of Canada,,5216,53 st,T0B 2R0,lamont,Alberta,5216 - 53rd st. lamont Alberta t0b 2r0,Lamont,4810064.0,48,53.762612,-112.78858100000000
176,Lasik Md Oliver Village and Cataract Md Edmonton,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5K 2X4,edmonton,Alberta,,Edmonton,,48,,
177,Leduc Community Hospital,general,Hospitals,Public Health Agency of Canada,,4210,48 st,T9E 5Z3,leduc,Alberta,4210 - 48th st. leduc Alberta t9e 5z3,Leduc,4811016.0,48,53.254835900000000,-113.5453314
178,Little Bow Continuing Care Centre,extended care,Nursing and residential care facilities,Public Health Agency of Canada,,316,armstrong st,T0L 0N0,carmangay,Alberta,316 armstrong st. carmangay Alberta t0l 0n0,Carmangay,4805002.0,48,50.124098,-113.108947
179,Lloydminster Continuing Care Centre,,Nursing and residential care facilities,Saskatchewan Health Authorities,,7402,29 street,T9V 3N1,lloydminster,Alberta,"7402 - 29 street lloydminster, Alberta t9v 3n1",Lloydminster (Part),4810039.0,48,53.274952,-110.017784
18,Barrhead Healthcare Centre,general,Hospitals,Public Health Agency of Canada,,4815,51 ave,T7N 1M1,barrhead,Alberta,4815 - 51st ave. barrhead Alberta t7n 1m1,Barrhead,4813019.0,48,54.1197041,-114.4001676
180,Magrath Community Health Site,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0K 1J0,magrath,Alberta,,Magrath,,48,,
181,Mahogany Oral and Maxillofacial Surgery,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T3M 2P8,calgary,Alberta,,Calgary,,48,,
182,Manning Community Health Centre,general,Hospitals,Public Health Agency of Canada,,600,2 st ne,T0H 2M0,manning,Alberta,600 - 2nd st. n.e. manning Alberta t0h 2m0,Manning,4817078.0,48,56.927995900000000,-117.621417
183,Mannville Care Centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T0B 2W0,mannville,Alberta,,Mannville,,48,,
184,MANOIR DU LAC,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0H 2L0,mclennan,Alberta,,McLennan,,48,,
185,Margery e. Yuill Cancer Centre,,Hospitals,Province of Alberta,,666,5 street sw,T1A 4H6,medicine hat,Alberta,"666-5th street s.w., medicine hat, alberta, t1a 4h6",Medicine Hat,4801006.0,48,50.03456,-110.70232
186,Masterpiece Southland Meadows,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1B 0B9,medicine hat,Alberta,,Medicine Hat,,48,,
187,Mayerthorpe Health Care Centre,general,Hospitals,Public Health Agency of Canada,,4706,54 st,T0E 1N0,mayerthorpe,Alberta,4706 - 54th st. mayerthorpe Alberta t0e 1n0,Mayerthorpe,4813002.0,48,53.95219400000000,-115.1472169
188,Mazankowski Alberta Heart Institute,cardiology,Hospitals,Public Health Agency of Canada,,11220,83 ave nw,T6G 2B7,edmonton,Alberta,11220 83 ave nw edmonton Alberta t6g 2b7,Edmonton,4811061.0,48,53.520191000000000,-113.522727
189,Medicine Hat Regional Hospital,general,Hospitals,Public Health Agency of Canada,,666,5 st sw,T1A 4H6,medicine hat,Alberta,666 - 5th st. s.w. medicine hat Alberta t1a 4h6,Medicine Hat,4801006.0,48,50.034733,-110.702725
19,"Barry Lycka Md, Cosmetic Dermatologist",other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5J 3S9,edmonton,Alberta,,Edmonton,,48,,
190,Milk River Health Centre,general,Hospitals,Public Health Agency of Canada,,517,centre ave e,T0K 1M0,milk river,Alberta,517 centre ave. e. milk river Alberta t0k 1m0,Milk River,4802004.0,48,49.148256000000000,-112.0763544
191,Mineral Springs Hospital,extended care,Hospitals,Public Health Agency of Canada,,305,lynx st,T1L 1H7,banff,Alberta,305 lynx st. banff Alberta t1l 1h7,Banff,4815035.0,48,51.1791402,-115.57467540000000
192,Misericordia Community Hospital,general,Hospitals,Public Health Agency of Canada,,16940,87 ave,T5R 4H5,edmonton,Alberta,16940 - 87th ave. edmonton Alberta t5r 4h5,Edmonton,4811061.0,48,53.5210277,-113.61231970000000
193,Myrnam Health Centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B 3K0,myrnham,Alberta,,,,48,,
194,Northeast Community Health Centre,general,Hospitals,Public Health Agency of Canada,,14007,50 st,T5A 5E4,edmonton,Alberta,14007 - 50 st. edmonton Alberta t5a 5e4,Edmonton,4811061.0,48,53.604272000000000,-113.417472
195,Northern Lights Regional Health Centre,general,Hospitals,Public Health Agency of Canada,,7,hospital st,T9H 1P2,fort mcmurray,Alberta,7 hospital st. fort mcmurray Alberta t9h 1p2,Wood Buffalo,4816037.0,48,56.71635230000000,-111.3622389
196,Northwest Health Centre,general,Hospitals,Public Health Agency of Canada,,11202,100 ave,T0H 1Z0,high level,Alberta,11202-100 ave. high level Alberta t0h 1z0,High Level,4817093.0,48,58.513525700000000,-117.16215290000000
197,Oilfields General Hospital,general,Hospitals,Public Health Agency of Canada,,717,government rd,T0L 0H0,black diamond,Alberta,717 government rd. black diamond Alberta t0l 0h0,Black Diamond,4806011.0,48,50.678014400000000,-114.23441270000000
198,Okotoks Health and Wellness Centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1S 2E9,okotoks,Alberta,,Okotoks,,48,,
199,Olds Hospital & Care Centre,general,Hospitals,Public Health Agency of Canada,,3901,57 ave,T4H 1T4,olds,Alberta,3901 - 57th ave. olds Alberta t4h 1t4,Olds,4806034.0,48,51.8013128,-114.11783490000000
2,Agecare — Beverly Centre Glenmore,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V 4S1,calgary,Alberta,,Calgary,,48,,
20,Bashaw Care Centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B 0H0,bashaw,Alberta,,Bashaw,,48,,
201,Park Place Seniors Living Inc. — Benevolence Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5P 3S7,edmonton,Alberta,,Edmonton,,48,,
202,Park Place Seniors Living Inc. — Devonshire Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6R 3H2,edmonton,Alberta,,Edmonton,,48,,
203,Park Place Seniors Living Inc. — Generations,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3N 1S3,calgary,Alberta,,Calgary,,48,,
204,Park Place Seniors Living Inc. — Hardisty Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6A 0H5,edmonton,Alberta,,Edmonton,,48,,
205,Park Place Seniors Living Inc. — Newport Harbour Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3K 6B4,calgary,Alberta,,Calgary,,48,,
206,Park Place Seniors Living Inc. — River Ridge Seniors Village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A 8V1,medicine hat,Alberta,,Medicine Hat,,48,,
208,Peace River Community Health Centre,general,Hospitals,Public Health Agency of Canada,,10101,68 st,T8S 1T6,peace river,Alberta,10101 - 68 st. peace river Alberta t8s 1t6,Peace River,4819038.0,48,56.231053,-117.35444200000000
209,Peter Lougheed Centre,general,Hospitals,Public Health Agency of Canada,,3500,26 ave ne,T1Y 6J4,calgary,Alberta,3500 - 26th ave. n.e. calgary Alberta t1y 6j4,Calgary,4806016.0,48,51.078059,-113.98295
21,Bassano Health Centre,general,Hospitals,Public Health Agency of Canada,,608,5 ave,T0J 0B0,bassano,Alberta,608 - 5th ave. bassano Alberta t0j 0b0,Bassano,4802039.0,48,50.7892616,-112.46105700000000
210,Pincher Creek Health Centre,general,Hospitals,Public Health Agency of Canada,,1222,mill ave,T0K 1W0,pincher creek,Alberta,1222 mill ave. pincher creek Alberta t0k 1w0,Pincher Creek,4803014.0,48,49.493452000000000,-113.94693500000000
211,Piyami Health Centre,extended care,Hospitals,Public Health Agency of Canada,,301a,rogers ave,T0K 1V0,picture butte,Alberta,301a rogers ave. picture butte Alberta t0k 1v0,Picture Butte,4802018.0,48,49.8731985,-112.7773122
212,Plastic & Cosmetic Laser Surgical Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5R 5W9,edmonton,Alberta,,Edmonton,,48,,
213,Points West Living Grande Prairie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8V 3G9,grande prairie,Alberta,,Grande Prairie,,48,,
214,Ponoka Hospital and Care Centre,general,Hospitals,Public Health Agency of Canada,,5800,57 ave,T4J 1P1,ponoka,Alberta,5800 - 57th ave. ponoka Alberta t4j 1p1,Ponoka,4808039.0,48,52.684724000000000,-113.58951100000000
215,Provost Health Centre,general,Hospitals,Public Health Agency of Canada,,5002,54 ave,T0B 3S0,provost,Alberta,5002 - 54th ave. provost Alberta t0b 3s0,Provost,4807002.0,48,52.357969,-110.26484000000000
216,Qualicare Ltd. — Citadel Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N 7K8,st albert,Alberta,,St. Albert,,48,,
217,Qualicare Ltd. — Jubilee Lodge Nursing Home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6A 3A8,edmonton,Alberta,,Edmonton,,48,,
218,Qualicare Ltd. — Northcott Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4J 1P4,ponoka,Alberta,,Ponoka,,48,,
219,Qualicare Ltd. — Rivercrest Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8L 2A5,fort saskatchewan,Alberta,,Fort Saskatchewan,,48,,
22,Beaverlodge Municipal Hospital,general,Hospitals,Public Health Agency of Canada,,422,10a st,T0H 0C0,beaverlodge,Alberta,422 - 10a st. beaverlodge Alberta t0h 0c0,Beaverlodge,4819009.0,48,55.2136098,-119.42409280000000
220,Queen ElizAlbertaeth Ii Hospital,general,Hospitals,Public Health Agency of Canada,,10409,98 st,T8V 2E8,grande prairie,Alberta,10409 - 98th st. grande prairie Alberta t8v 2e8,Grande Prairie,4819012.0,48,55.175292300000000,-118.78656800000000
221,Radway Continuing Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A 2V0,radway,Alberta,,,,48,,
222,Rainbow Lake Health Centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0H 2Y0,rainbow lake,Alberta,,Rainbow Lake,,48,,
223,Raymond Health Centre,general,Hospitals,Public Health Agency of Canada,,150,n 4 st e,T0K 2S0,raymond,Alberta,150 n. - 4th st. e. raymond Alberta t0k 2s0,Raymond,4802008.0,48,49.4647002,-112.65058400000000
224,Red Deer Regional Hospital Centre,general,Hospitals,Public Health Agency of Canada,,3942,50a ave,T4N 6R2,red deer,Alberta,3942 - 50a ave. red deer Alberta t4n 6r2,Red Deer,4808011.0,48,52.2607786,-113.818671
225,Redwater Health Centre,general,Hospitals,Public Health Agency of Canada,,4812,58 st,T0A 2W0,redwater,Alberta,4812 - 58 st. redwater Alberta t0a 2w0,Redwater,4811065.0,48,53.9495991,-113.12558130000000
226,Remington Laser Dermatology Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2H 2H8,calgary,Alberta,,Calgary,,48,,
227,Renew Oral and Facial Surgical Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T6G 1B9,edmonton,Alberta,,Edmonton,,48,,
228,Retirement Concepts — Millrise Place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2Y 5B9,calgary,Alberta,,Calgary,,48,,
229,Revera Inc. — Bow Crest Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B 0C7,calgary,Alberta,,Calgary,,48,,
23,Bentley Care Centre,extended care,Nursing and residential care facilities,Public Health Agency of Canada,,4834,52 ave,T0C 0J0,bentley,Alberta,4834 - 52nd ave. bentley Alberta t0c 0j0,Bentley,4808026.0,48,52.467744000000000,-114.04616000000000
230,Revera Inc. — Jasper Place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5R 2V6,edmonton,Alberta,,Edmonton,,48,,
231,Revera Inc. — Mckenzie Towne Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2Z 4G4,calgary,Alberta,,Calgary,,48,,
232,Revera Inc. — Miller Crossing,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5A 5J4,edmonton,Alberta,,Edmonton,,48,,
233,Revera Inc. — Mount Royal Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2T 3C2,calgary,Alberta,,Calgary,,48,,
234,Revera Inc. — Riverview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A 4C2,medicine hat,Alberta,,Medicine Hat,,48,,
235,Revera Inc. — South Terrace Continuing Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6H 3J4,edmonton,Alberta,,Edmonton,,48,,
236,Richmond Road Diagnostic & Treatment Centre,,Hospitals,Province of Alberta,,1820,richmond road sw,T2T 5C7,calgary,Alberta,"1820 richmond road sw calgary, alberta, t2t 5c7",Calgary,4806016.0,48,51.035999,-114.110878
237,Rimbey Hospital & Care Centre,general,Hospitals,Public Health Agency of Canada,,5228,50 ave,T0C 2J0,rimbey,Alberta,5228 - 50th ave. rimbey Alberta t0c 2j0,Rimbey,4808044.0,48,52.6396975,-114.2459585
