14,Quebec did not provide data on restitution for fiscal year 2000/2001.
15,Quebec did not report conditional sentencing data for reference periods prior to 2013/2014.
16,Information on offences against the Controlled Drugs and Substances Act (CDSA) is not available from Quebec.
17,"Pre-charge screening refers to a formal process whereby a Crown prosecutor (as opposed to police) determines whether a charge is officially laid and proceeds to court. Pre-charge screening is meant to keep less serious cases out of the court system and reduce court workload. The use of pre-charge screening by the Crown may also affect the number and percentage of cases resulting in a guilty finding through increased vetting of charges. Currently in Canada, pre-charge screening systems are in place in New Brunswick, Quebec and British Columbia."
18,"In Ontario, sentencing detail was not available for 17% of guilty decisions in the fourth quarter of 2001/2002. This data-reporting limitation affects 4% of all guilty decisions for this reference period."
19,"Cases can have more than one sentence. Therefore, sanctions are not mutually exclusive and will not add to 100%. Sentencing information is not available for a small proportion of guilty cases (i.e., approximately 3%, overall).  For all sentencing tables, data are for cases with a guilty finding only and for which sentencing information is reported."
20,"Since 2004/2005 for the Northwest Territories, the number of custody orders have been under-reported and the number of probation orders have been over-reported by unknown amounts due to clerical procedures. The majority of custody orders were captured as probation."
21,"In Newfoundland and Labrador, data on conditional sentencing and probation conditions were not available for 20% of adult criminal court locations for 1998/1999."
22,The Northwest Territories does not report conditional sentencing data at this time.
23,"The conditional sentence of imprisonment option came into effect under Bill C-41 in September 1996. When a conditional sentence is imposed, the offender serves their sentence in the community under supervision. The prerequisites for imposing a conditional sentence include: the offence must not have a prescribed minimum sentence; the maximum sentence of imprisonment for the offence must be less than 2 years; and the court must be satisfied that the offender would not endanger the safety of the community. The offender who receives such a conditional sentence of imprisonment must abide by certain conditions, such as ""house arrest"", curfew, alcohol or driving prohibition, treatment programs or a community service order, and may be sent to prison if he or she violates those conditions. The collection of data on conditional sentences across jurisdictions is not consistent over time. Yukon began reporting conditional sentencing data in 1996/1997; Saskatchewan began in 1997/1998; Newfoundland and Labrador, Ontario and Alberta began in 1998/1999; Prince Edward Island and Nova Scotia began in 1999/2000; New Brunswick and British Columbia began in 2000/2001; Nunavut began in 2002/2003, Manitoba in 2005/2006 and Quebec in 2013/2014. The Northwest Territories does not report conditional sentencing data at this time."
24,Probation is mandatory in cases where the accused is given a conditional discharge or a suspended sentence.
25,"""Other"" sentences include absolute and conditional discharge, suspended sentence, community service order and prohibition order among others."

"How to cite: Statistics Canada. Table 35-10-0030-01 Adult criminal courts, guilty cases by type of sentence"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510003001
DOI: https://doi.org/10.25318/3510003001-eng
